distance,count,combine,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y
590.0,2,0,R,114081.137,489669.913,114671.449,489664.577
343.0,1,0,L,178999.34,543120.48,179004.019,542806.526
90.0,1,0,R,105317.085,498803.439,105255.748,498819.532
60.0,1,0,R,255894.925,568660.994,255933.204,568705.633
82.0,1,0,R,105322.592,498953.009,105357.362,499026.578
58.0,1,0,L,103339.292,448242.693,103282.025,448234.265
99.0,1,0,R,75508.06,441534.76,75521.766,441436.627
1043.0,1,0,#,217620.799,488690.76,218655.0,488576.0
147.0,1,0,L,110311.808,390553.755,110323.537,390700.716
76.0,1,0,R,130873.369,522512.679,130880.611,522587.906
51.0,1,0,R,128067.716,483197.227,128109.04000000001,483167.44
83.0,1,0,L,179004.019,542806.526,178968.64,542731.872
198.0,1,0,R,156202.502,451739.29000000004,156390.361,451704.174
386.0,1,0,R,206230.531,380830.663,206011.435,381147.658
24.0,1,0,R,42013.496,413391.718,41992.567,413400.794
149.0,1,0,R,233011.737,554481.364,233001.987,554629.338
93.0,1,0,L,187464.896,346184.446,187541.784,346236.391
29.0,1,0,L,187864.914,346516.128,187875.87900000002,346542.448
114.0,1,0,R,259701.2,478944.7,259810.923,478913.835
156.0,1,0,R,84681.323,457809.987,84777.351,457687.627
25.0,2,0,L,84524.959,457958.598,84542.87,457975.571
38.0,1,0,L,88381.156,461893.528,88412.902,461915.075
287.0,1,0,L,197329.0,478339.0,197434.227,478471.266
89.0,1,0,R,94977.0,461616.0,95057.867,461579.49
307.0,1,0,R,183778.253,446197.777,183962.815,446443.375
136.0,1,0,R,158896.272,464454.189,159023.07,464404.765
155.0,0,0,R,84372.307,449361.929,84344.971,449226.959
708.0,1,0,L,178994.683,309474.257,179159.079,310159.27
75.0,1,0,R,179037.98,320095.469,178998.747,320031.117
95.0,1,0,L,112070.553,483492.869,112110.05,483406.016
75.0,1,0,R,84879.7,457625.304,84868.446,457558.32
25.0,1,0,L,84604.55,458031.404,84623.141,458048.67
19.0,1,0,R,178505.0,313917.0,178513.403,313899.702
105.0,1,0,R,199614.086,357643.508,199556.175,357730.326
272.0,1,0,L,108626.394,502459.059,108775.637,502503.714
746.0,1,0,R,219718.0,521496.0,220429.626,521717.496
187.0,1,0,R,128722.138,461624.623,128795.366,461452.423
1382.0,2,0,R,118223.825,410481.073,119550.485,410864.37
327.0,1,0,R,184457.785,359243.299,184627.661,358963.452
556.0,0,0,R,252789.324,527495.838,253291.428,527374.811
398.0,1,0,R,266625.214,528105.167,266492.003,528271.228
136.0,1,0,R,262739.92,528688.492,262875.345,528692.154
102.0,1,0,R,179002.939,578338.756,179002.175,578237.985
64.0,1,0,#,38960.047,406852.412,38999.373,406903.497
451.0,0,0,R,161534.41,435845.384,161939.34,435983.328
16.0,0,0,R,177242.82,579888.152,177256.918,579895.785
245.0,2,0,R,237724.953,446776.327,237906.884,446936.817
304.0,0,0,R,210486.829,524188.15,210580.595,524469.814
1740.0,2,0,R,67727.5,439639.757,69370.618,439344.849
1514.0,2,0,R,70449.503,438997.469,71547.976,438054.123
434.0,2,0,R,73010.263,436520.897,73349.505,436250.687
152.0,1,0,R,208012.244,437843.294,208118.03,437951.819
10.0,1,0,R,237702.31,446758.743,237710.376,446765.007
18.0,1,0,R,237710.376,446765.007,237724.953,446776.327
52.0,1,0,L,195596.859,465465.542,195548.241,465447.275
148.0,1,0,R,183368.55000000002,448192.854,183386.895,448308.636
478.0,1,0,R,196600.59100000001,559134.342,196823.967,559556.944
148.0,1,0,L,51136.009,388997.003,51277.872,388957.571
88.0,1,0,R,207071.721,505287.626,207133.791,505349.29000000004
95.0,1,0,R,261709.121,528674.814,261803.666,528685.125
945.0,1,0,R,102811.162,415971.36,102946.729,415046.533
413.0,1,0,L,180845.415,439692.749,181040.084,439347.59
464.0,1,0,L,209545.149,499183.168,209212.985,499499.948
177.0,1,0,L,205194.817,534801.057,205366.27000000002,534759.985
124.0,1,0,R,209609.86000000002,521639.087,209669.416,521747.325
150.0,1,0,R,167245.569,464035.789,167236.742,464185.097
49.0,1,0,L,209201.442,499506.837,209158.963,499532.189
396.0,0,0,R,242786.951,461268.288,243076.399,461455.569
284.0,1,0,R,184876.0,329561.0,185121.894,329418.158
478.0,2,0,R,137392.74,448560.92,137620.19,448980.733
3.0,2,0,L,105059.596,498521.552,105060.176,498518.55
216.0,1,0,R,198208.092,316892.441,198368.19,316747.537
52.0,0,0,L,198899.519,316223.241,198867.705,316263.008
110.0,1,0,L,108775.637,502503.714,108728.082,502404.175
549.0,1,0,R,179898.912,448173.312,180448.214,448170.023
142.0,1,0,R,51217.191,389024.618,51075.434,389032.096
119.0,1,0,L,228128.12900000002,475637.424,228037.363,475560.665
77.0,1,0,R,246968.874,576688.558,247045.583,576685.067
7.0,1,0,R,208526.021,571549.827,208532.085,571554.186
1734.0,1,0,R,168098.383,562020.704,169786.072,561627.822
445.0,1,0,L,206418.587,375309.06,206755.055,375023.643
727.0,1,0,R,247045.583,576685.067,247771.144,576669.031
1313.0,2,0,#,226210.0,519392.0,226421.728,520674.303
50.0,1,1,L,239121.37,498138.271,239139.65,498091.757
15.0,1,0,R,131705.641,549662.489,131717.075,549672.261
133.0,1,0,R,131339.158,548647.758,131327.176,548779.926
67.0,1,0,L,98186.647,407108.331,98238.422,407151.215
421.0,0,0,L,98238.422,407151.215,98560.625,407387.759
10243.0,2,0,R,143383.929,559691.637,151718.864,565262.289
369.0,1,0,R,191054.709,504590.409,190906.103,504911.611
1162.0,1,0,L,106159.309,473772.465,106934.266,474638.46
410.0,1,0,L,135664.679,394504.167,135927.688,394818.744
88.0,1,0,R,191104.061,504517.2,191054.709,504590.409
262.0,1,0,L,118163.196,396383.261,118344.036,396565.735
145.0,1,0,R,177562.46600000001,580068.244,177706.802,580077.743
151.0,1,0,R,140690.234,483883.318,140809.903,483975.036
283.0,1,0,R,253731.097,576693.102,253970.0,576796.769
28.0,1,0,L,74168.29000000001,435581.892,74185.714,435604.229
674.0,0,0,R,115943.847,398738.914,116191.641,399354.764
454.0,1,0,R,208119.495,435399.978,208379.776,435027.835
423.0,1,0,R,178927.952,577795.765,179024.003,577986.961
121.0,1,0,L,94693.231,461367.331,94778.409,461452.423
68.0,1,0,R,190604.059,505114.437,190557.087,505163.457
106.0,1,0,L,181568.337,521975.717,181614.897,521881.826
481.0,1,0,L,183345.675,569975.741,183472.832,569511.882
421.0,1,0,L,124925.0,395894.0,125340.597,395826.726
361.0,0,0,L,260081.971,478915.195,260252.136,479023.764
354.0,1,0,R,191308.242,349167.042,191526.082,349442.46
307.0,1,0,L,239448.92,495275.231,239460.971,494968.607
945.0,1,0,L,86028.328,391462.557,86969.0,391531.0
995.0,1,0,R,139708.889,437789.442,140236.448,436945.936
514.0,1,0,R,139436.594,438225.901,139708.889,437789.442
109.0,1,0,L,251396.236,562643.305,251312.377,562575.156
293.0,0,0,L,238994.817,498670.704,239040.774,498381.685
382.0,1,1,R,238422.585,485552.661,238586.953,485895.433
346.0,1,0,R,208293.145,374159.424,207977.154,374253.682
69.0,0,0,R,110645.853,453788.72000000003,110678.892,453728.526
270.0,1,0,R,110572.701,454046.327,110645.853,453788.72000000003
149.0,1,0,L,124412.565,411689.761,124264.557,411697.038
158.0,1,0,L,124085.075,479510.642,123990.87700000001,479636.97000000003
23.0,1,0,R,137758.411,397345.454,137742.616,397328.912
81.0,1,0,L,137742.96600000001,397262.891,137767.106,397339.505
48.0,1,0,R,138547.238,399022.088,138509.327,398994.63
20.0,1,0,L,155005.484,433937.284,154987.148,433928.543
