,X_value,Y_value,Sum_weight,Other_side
70,117412.634,396363.996,15,"(117369.78, 396328.341)"
71,152538.089,453013.08,15,"(152632.943, 453047.769)"
72,179657.71746,467611.90577,15,"(179710.63597, 467539.02517)"
73,226048.93554,474350.86997,15,"(225975.57492, 474315.4285)"
74,105216.355,448659.069,15,"(105283.944, 448722.245)"
75,101728.865,428216.173,15,"(101729.967, 428113.919)"
76,104195.92227,412075.41883,15,"(103820.15354, 412337.24023)"
77,126585.298,486274.469,14,"(126586.775, 486238.164)"
78,165366.115,464002.096,14,"(165589.763, 464067.293)"
79,88211.048,419827.813,14,"(88221.462, 419819.248)"
80,88857.176,437928.673,14,"(88574.516, 437763.321)"
81,149141.093,414435.326,14,"(149140.383, 414452.126)"
82,210064.295,518311.745,14,"(210086.644, 518064.136)"
83,99466.0,433347.0,14,"(99482.0, 433343.0)"
84,107958.012,500356.083,14,"(107955.675, 500307.385)"
85,170678.835,449643.948,14,"(170700.399, 449667.848)"
86,166088.153,478123.758,14,"(166103.832, 478110.812)"
87,163984.061,376568.584,14,"(163973.67, 376557.883000002)"
88,192276.083,450054.322,14,"(192321.261, 450099.837)"
89,119624.752,492237.241,14,"(119688.649, 492431.225)"
90,112503.752,481845.111,14,"(112515.855, 481880.267)"
91,210536.62033,515253.69505,14,"(210551.647, 515246.815)"
92,149233.017,407231.32,14,"(149220.632, 407221.36)"
93,109739.112,506460.914,14,"(109757.194, 506471.928)"
94,239538.967,478753.033,14,"(239536.97244, 478775.21991)"
95,74185.714,435604.229,14,"(74171.557, 435610.486)"
96,101902.78,467822.42,14,"(101911.874, 467758.518)"
97,176751.321,381498.283,14,"(176753.609, 381489.849)"
98,201821.758,567217.879,13,"(201782.507, 567327.828)"
99,138339.34429,451620.33107,13,"(138323.25783, 451623.50429)"
100,167557.75400000002,414100.389,13,"(167536.301, 414065.968)"
101,176839.503,430263.484,13,"(176807.704, 430297.786)"
102,213420.768,574183.339,13,"(213450.304, 574169.985)"
103,247847.108,478269.775,13,"(247823.049, 478258.179)"
104,234463.103,578003.897,13,"(234477.667, 578006.694)"
105,110918.404,407579.476,13,"(110924.045, 407560.949)"
106,195715.0,444036.0,13,"(195777.806, 443838.612)"
107,119900.941,409368.08,13,"(119889.07375, 409375.1563)"
108,178610.75,319584.969,13,"(178821.213, 319782.58)"
109,171619.2,367756.328,13,"(171611.786, 367727.205)"
