first_point_x,first_point_y
111534.4235,485095.2228
145374.9412,471090.657
80668.811,388196.423
89310.536,431602.519
198784.428,465957.156
156748.765,385345.989
145439.0,427025.0
139388.2408,461549.6555
157430.336,388724.54
198694.989,466270.789
104069.404,421012.8228
108666.5998,489279.8467
118071.3641,488152.345
137554.625,481588.419
85357.557,437985.423
79891.479,431618.317
120282.701,411063.822
117940.316,496507.718
57922.966,426169.897
32474.845,399865.632
173504.0,422024.0
94850.147,461683.301
148961.631,408520.233
144417.459,471214.07
128642.766,483072.518
198225.705,467366.254
194501.2509,460068.2632
183066.0,329534.0
110646.876,484805.156
204501.2285,504426.8848
109794.023,477909.077
196562.0,376696.0
173360.0,422473.0
96449.35,437794.601
84779.327,437458.452
159347.048,379706.069
179870.718,429391.852
170551.171,449554.446
231358.176,526186.891
45676.3821,413648.3754
187930.764,434211.838
169643.837,407073.784
129108.303,515017.837
181248.0,330212.0
108772.0,488786.0
81758.304,448811.098
183506.569,448262.627
80323.804,383964.333
105047.555,498429.867
158780.683,469238.9
135891.195,444638.642
119659.223,410893.785
154414.165,567353.524
182152.269,434950.275
161232.58,379558.729
234859.569,477917.339
98249.002,433520.635
32490.546,399898.526
202686.8,384273.2
90813.786,397288.783
112076.234,483550.323
209467.764,521031.141
145995.89,426549.1
150703.042,409317.805
181747.9496,435240.5639
241345.039,482376.0977
60030.583,425066.797
118862.208,498831.55
97268.536,431131.271
126815.878,434445.039
201264.0,502330.0
200599.078,468186.692
110973.041,488919.481
116272.1235,453295.5585
196440.0,461477.0
122752.847,482114.177
96584.2,405536.131
97541.247,431378.158
138607.3801,453399.5249
236642.073,485402.535
145877.871,426869.187
98208.072,431623.077
253132.871,576729.475
83177.487,437454.259
119661.916,479056.877
150894.0,409646.0
93515.1436,460615.0357
195554.8116,444032.4167
122685.18,482367.475
197442.125,499356.706
134754.96,452611.505
267930.597,481931.54
210364.2772,523363.4188
158570.4388,464825.2777
124760.171,545728.517
145716.7525,485047.338
32324.517,393744.664
235417.287,445462.8244
73349.505,436250.687
214587.508,522372.217
215174.8283,522177.2378
187158.296,552998.0133
245308.527,577392.497
120416.717,414057.783
232990.52,554594.351
238634.938,486945.128
148114.143,487460.214
149778.113,404977.337
118911.0,483367.0
110389.783,488965.59
149969.193,488948.428
107281.295,498702.849
221503.0,578149.0
152490.0476,490402.9423
85475.1545,412948.8256
124952.363,477862.019
143618.309,430662.941
190571.613,554318.265
64335.0,408674.0
105080.992,472522.472
187457.654,434189.743
104057.8502,420699.2966
141415.0,411909.0
165863.618,373423.034
117813.438,410354.962
126946.0492,434520.8905
31413.157,396404.412
31398.781,396456.769
123533.6459,480052.2122
127486.95,464934.941
181220.0,547536.0
85035.488,436022.907
150525.4352,489142.5463
93191.0955,460183.4192
197910.7333,544084.4095
98817.412,432033.0
163162.099,563445.73
84227.054,453831.999
204687.769,568709.632
131436.488,549131.555
128067.716,483197.227
108626.394,502459.059
110430.337,427167.394
105059.596,498521.552
131339.158,548647.758
135664.679,394504.167
253731.097,576693.102
74168.29,435581.892
178927.952,577795.765
94693.231,461367.331
85834.872,459292.877
180845.415,439692.749
84911.263,436434.984
85577.895,459025.251
190029.524,410358.636
206510.1,377508.68
151817.064,484350.178
83018.695,454699.439
91024.0,393377.0
182956.0,329256.0
