first_point_x,first_point_y,last_point_x,last_point_y,count
138850.883,452130.281,139286.373,454312.856,2
157585.345,464890.575,158387.858,464780.388,2
184082.197,448479.944,182973.726,445567.477,2
200747.335,501934.494,201339.171,502482.104,2
149295.6649,470178.578,147012.686,470646.314,2
141761.795,468192.1042,144417.459,471214.07,2
178334.439,316411.46,179028.301,319942.945,2
133353.201,453015.163,133450.297,453632.541,2
251311.04,600753.647,251311.04,600753.647,2
118485.654,490574.494,119910.277,492638.713,2
145229.509,472185.48,144277.382,472185.56,2
134584.301,452900.805,134160.806,452771.192,2
105333.051,498837.045,108747.734,502387.857,2
137578.385,448588.683,138212.609,451088.321,2
240925.0201,482618.7255,237620.02,484136.954,2
84850.432,436701.38,85035.488,436022.907,2
238343.708,580314.307,237523.617,581397.094,2
251557.419,562560.218,253422.009,563748.162,2
133942.8123,444925.81,134968.619,443662.362,2
130003.508,459548.388,133501.716,454152.35,2
124816.29,428297.381,124972.0,428824.0,2
117635.122,396606.552,116716.564,396109.339,2
110451.998,455796.7,110270.974,455698.552,2
84776.841,451979.981,85883.858,453457.485,2
125015.526,478504.367,124879.91,477685.817,2
105940.134,429303.084,105955.0,429308.0,2
194328.583,320582.973,194735.467,320725.212,2
114977.802,426239.36,111279.481,427019.69,2
126164.634,485094.283,123884.141,482897.136,2
85883.858,453457.485,92764.8232,459837.2499,2
189260.0,553526.0,190089.846,554057.211,2
144051.247,472331.695,144494.202,471932.784,2
109551.112,477254.903,109968.702,477979.247,2
80829.46,390614.91,80297.483,391331.749,2
174399.537,517100.676,178645.776,521573.736,2
220874.255,577767.995,227290.206,579960.188,2
126657.9087,480106.2549,128857.647,481657.126,2
120306.144,544469.847,120285.947,544494.577,2
70265.113,431035.974,70301.626,431046.821,2
178259.251,319229.347,178170.988,317128.213,2
153604.642,412886.591,152778.812,412230.359,2
124866.706,428713.426,124849.8641,428570.3854,2
93082.0,425865.0,88012.697,418984.655,2
198068.5808,500226.8219,199166.231,498207.484,2
152329.969,410705.076,152571.2,411848.186,2
238343.708,580314.307,237523.617,581397.094,2
143667.647,472705.549,144872.479,471526.788,2
163230.969,563605.914,164646.098,563318.774,2
192679.0715,447363.7865,185227.0,448779.0,2
