type	starttime_new	endtime_new	vild_primair_wegnummer	primaire_locatie_lengtegraad	primaire_locatie_breedtegraad	duration
vehicle_obstruction	1-10-2019 07:24	1-10-2019 07:58	A37	6.813024044	52.72515869	33.5
vehicle_obstruction	1-10-2019 07:24	1-10-2019 07:51	A58	4.972167	51.54833	26.51666667
accident	1-10-2019 07:25	1-10-2019 08:40	A28	5.424024105	52.17047882	75.51666667
vehicle_obstruction	1-10-2019 07:25	1-10-2019 07:28	A9	4.720938206	52.53015137	3.616666667
accident	1-10-2019 07:25	1-10-2019 07:51	A73	5.84367609	51.73841095	26.71666667
accident	1-10-2019 07:25	1-10-2019 08:42	A1	5.212269783	52.25090027	76.38333333
general_obstruction	1-10-2019 07:26	1-10-2019 08:42	A27	5.242472172	52.2347908	75.88333333
accident	1-10-2019 07:28	1-10-2019 08:43	A1	5.209276199	52.25595093	75.61666667
accident	1-10-2019 07:28	1-10-2019 07:39	A16	4.547286034	51.89871979	11.08333333
accident	1-10-2019 07:28	1-10-2019 08:19	A28	6.19841814	52.65840912	50.66666667
accident	1-10-2019 07:29	1-10-2019 08:44	A50	5.717781067	51.86333847	75.58333333
vehicle_obstruction	1-10-2019 07:30	1-10-2019 08:24	A4	4.480744839	52.12398911	54.55
vehicle_obstruction	1-10-2019 07:30	1-10-2019 07:35	A28	6.197418	52.6645	5.183333333
vehicle_obstruction	1-10-2019 07:31	1-10-2019 07:52	A9	4.674393	52.46497	21.55
vehicle_obstruction	1-10-2019 07:31	1-10-2019 08:42	A1	5.20957	52.25545	71.11666667
accident	1-10-2019 07:31	1-10-2019 08:19	A28	6.19841814	52.65840912	47.9
accident	1-10-2019 07:33	1-10-2019 08:48	A58	4.947357178	51.55192947	75.1
vehicle_obstruction	1-10-2019 07:33	1-10-2019 07:36	A15	4.307165	51.86848	2.55
vehicle_obstruction	1-10-2019 07:33	1-10-2019 07:36	A4	4.375011921	51.89471817	3.083333333
accident	1-10-2019 07:33	1-10-2019 08:44	A27	5.147489071	52.06734848	70.88333333
vehicle_obstruction	1-10-2019 07:34	1-10-2019 09:36	A4	4.371229645	51.90771101	122.1833333
vehicle_obstruction	1-10-2019 07:34	1-10-2019 07:35	A16	4.649242	51.77029	1.083333333
vehicle_obstruction	1-10-2019 07:34	1-10-2019 08:12	N242	4.815272808	52.66849136	37.38333333
vehicle_obstruction	1-10-2019 07:35	1-10-2019 07:41	A27	5.141687	52.04525	6.016666667
general_obstruction	1-10-2019 07:35	1-10-2019 08:12	A5	4.735385264	52.3456722	36.9
vehicle_obstruction	1-10-2019 07:36	1-10-2019 07:46	A28	6.198009968	52.66030884	10.68333333
vehicle_obstruction	1-10-2019 07:36	1-10-2019 08:25	A4	4.440670967	52.09835815	48.76666667
accident	1-10-2019 07:37	1-10-2019 08:52	A50	5.578090191	51.73461151	75.28333333
vehicle_obstruction	1-10-2019 07:38	1-10-2019 07:53	A15	4.920082092	51.83924103	14.88333333
vehicle_obstruction	1-10-2019 07:38	1-10-2019 08:07	A5	4.735414982	52.34712982	28.71666667
accident	1-10-2019 07:39	1-10-2019 08:26	A28	6.594355106	53.05252838	46.41666667
accident	1-10-2019 07:41	1-10-2019 08:47	A1	6.758361816	52.28480148	66.65
vehicle_obstruction	1-10-2019 07:41	1-10-2019 07:51	A9	4.68056	52.47385	9.5
vehicle_obstruction	1-10-2019 07:41	1-10-2019 08:19	A15	4.426507	51.8717	37.63333333
vehicle_obstruction	1-10-2019 07:42	1-10-2019 08:06	A59	5.23529911	51.69487	24.03333333
vehicle_obstruction	1-10-2019 07:42	1-10-2019 08:57	A2	4.941952229	52.29727173	74.55
accident	1-10-2019 07:43	1-10-2019 08:58	A27	5.121472836	52.01483917	75.45
vehicle_obstruction	1-10-2019 07:43	1-10-2019 07:55	A28	6.588343	53.04446	11.58333333
vehicle_obstruction	1-10-2019 07:46	1-10-2019 07:47	A4	4.563240051	52.16836166	0.55
vehicle_obstruction	1-10-2019 07:46	1-10-2019 07:47	A4	4.563240051	52.16836166	0.783333333
vehicle_obstruction	1-10-2019 07:46	1-10-2019 07:48	A4	4.563240051	52.16836166	1.25
vehicle_obstruction	1-10-2019 07:46	1-10-2019 07:48	A4	4.555555	52.1621	2.066666667
vehicle_obstruction	1-10-2019 07:47	1-10-2019 07:52	A9	4.674477	52.46519	5.133333333
vehicle_obstruction	1-10-2019 07:47	1-10-2019 07:53	A9	4.680924892	52.47288895	5.266666667
vehicle_obstruction	1-10-2019 07:48	1-10-2019 07:50	A2	5.176403046	51.91704941	2.066666667
vehicle_obstruction	1-10-2019 07:48	1-10-2019 09:03		6.572943211	53.22576904	75.25
accident	1-10-2019 07:48	1-10-2019 08:55	A12	5.072988033	52.06512833	66.61666667
vehicle_obstruction	1-10-2019 07:49	1-10-2019 08:15	A28	6.448337078	52.78974915	25.65
vehicle_obstruction	1-10-2019 07:50	1-10-2019 07:54	A4	4.504525	52.13665	3.533333333
