type,starttime_new,endtime_new,vild_primair_wegnummer,primaire_locatie_lengtegraad,primaire_locatie_breedtegraad,duration,dutch_rd_x,dutch_rd_y,Node,Node_distance_to_incident,Node_distance_line,Node_line,Node_RPE
general_obstruction,2019-11-21 07:02:00,2019-11-21 07:24:05,A1,5.73773765563965,52.1943893432617,22.08333333333333,178967.17508559904,467421.04898389557,"(179710.63597, 467539.02517)",752.7632211539066,3226.0,"LINESTRING (176513.19006 467111.78394, 177046 467175, 177208 467193, 177288 467202, 177384 467213, 177484 467225, 177581 467236, 177643 467244, 177677 467248, 177775 467260, 177876 467272, 177962 467283, 177976 467285, 178077 467298, 178178 467312, 178278 467325, 178378 467338, 178453 467348, 178476 467351, 178537 467359, 178576 467364, 178595 467366, 178675 467378, 178749.592 467388.902, 179244 467462, 179320.181 467475.455, 179331.788 467476.921, 179370 467483, 179476 467500, 179581 467517, 179672 467532, 179710.63597 467539.02517)",R
vehicle_obstruction,2019-11-21 07:09:00,2019-11-21 07:17:16,A10,4.97407531738281,52.3744087219238,8.266666666666667,126866.77158493358,487472.72401692433,"(126836.79218, 487169.85419)",304.34995774823943,558.0,"LINESTRING (126860.54948 487725.92276, 126862 487709, 126866 487500, 126867 487474, 126865 487426, 126861 487368, 126856 487312, 126851 487258, 126845 487221, 126836.79218 487169.85419)",R
general_obstruction,2019-11-21 09:04:00,2019-11-21 09:24:14,A28,5.73473262786865,52.3517570495605,20.23333333333333,178677.7382855911,484929.0785046357,"(180449.916, 485877.73100000096)",2010.1132824819222,4243.0,"LINESTRING (176660.896 483978.725, 176714 483992.000000001, 176825 484027.000000003, 176902 484054, 176965 484079.000000002, 177055 484117.000000003, 177126 484149.000000002, 177337 484253, 177659.981 484417.018000002, 178144.299 484660.017, 178279 484728, 178323.978 484750.23399999796, 178741 484961.000000001, 178777 484980.000000002, 178780 484982, 178783 484983.000000001, 178793 484988.000000003, 178927 485059, 179919 485599.999999999, 179922 485601.000000003, 179925 485602.000000002, 180000.175 485642.877000002, 180308 485809.000000003, 180418 485863.000000001, 180449.916 485877.73100000096)",R
vehicle_obstruction,2019-11-21 09:20:00,2019-11-21 10:03:27,A4,4.44407844543457,52.1000442504883,43.45,90379.38945803618,457285.9273801308,"(92349.18823, 459425.45727)",2908.211710256654,6483.0,"LINESTRING (87737.094 454912.495, 87755 454932, 87802 454988, 87873 455078, 88022 455271, 88082.107 455345.248, 88152 455421, 88217.841 455493.735, 88257 455535, 88376 455656, 88429 455701, 88501 455761, 88549 455802, 88577 455826, 88654 455891, 88732 455958, 88808 456023, 88883 456087, 88960 456152, 89512 456606, 89587 456665, 89647 456712, 89857 456878, 90257.706 457191.009, 90368 457277, 90481 457368, 90590.745 457451.675, 90620 457475, 90665 457512, 90729 457563, 90826 457646, 90926 457739, 91024 457837, 91105 457922, 91154 457976, 91237 458072, 91338 458196, 91465 458353, 91570.64624 458484.3282, 91753.38539 458728.5161, 91915.39538 458931.48367, 92131.4087 459186.33085, 92334.98305 459411.14246, 92349.18823 459425.45727)",L
general_obstruction,2019-11-21 09:25:00,2019-11-21 09:48:53,A20,4.36626958847046,51.9255218505859,23.883333333333333,84775.45819301608,437942.3961054848,"(85256.638, 437953.022)",481.2971185072045,641.0,"LINESTRING (84615.814 437936.804, 84660.997 437941.801, 85000 437944, 85214 437951, 85256.638 437953.022)",R
general_obstruction,2019-11-21 10:00:00,2019-11-21 10:11:01,A2,5.06398630142212,52.0307388305664,11.016666666666667,132819.14401241636,449204.7092824879,"(132871.24, 450920.297)",1716.3785154798127,1760.0,"LINESTRING (132818.27677 449160.75566, 132822 449316, 132836 449772, 132842 450000, 132851 450219, 132871.24 450920.297)",L
general_obstruction,2019-11-21 11:14:00,2019-11-21 11:21:33,A15,4.43397951126099,51.8695755004883,7.55,89351.03972176013,431655.1443960649,"(89419.393, 431628.412)",73.39476579094755,2313.0,"LINESTRING (87175.459 432133.094, 87240 432130, 87361 432126, 87523.683 432114.843, 87697.901 432098.042, 87860.347 432074.958, 87990.457 432053.244, 88167.787 432019.812, 88284.024 431996.137, 88424.216 431960.53, 88533.596 431929.682, 88645.333 431896.654, 88697.827 431881.594, 88859.838 431828.805, 89039.038 431768.861, 89203.835 431710.989, 89390.576 431640.638, 89419.393 431628.412)",R
general_obstruction,2019-11-21 11:54:00,2019-11-21 12:11:12,A15,5.22635555267334,51.8565788269043,17.2,143918.82460226672,429791.1535431611,"(144877.0433, 429968.52436)",974.4965260850041,1886.0,"LINESTRING (143120.973 429363.9, 143208.936 429417.335, 143599.743 429639.416, 143680.64 429682.561, 143745.935 429715.305, 143823.557 429751.515, 143875.948 429774.051, 143948 429803, 144024 429830, 144145 429869, 144264.059 429898.863, 144349.771 429917.642, 144417.955 429930.066, 144457.44 429936.133, 144507.326 429943.452, 144564.532 429950.097, 144643.117 429957.513, 144712.457 429961.847, 144851 429968, 144877.0433 429968.52436)",R
general_obstruction,2019-11-21 11:55:00,2019-11-21 12:11:15,A15,4.78216361999512,51.8269119262695,16.25,113290.60724446586,426651.7506915198,"(114387.727, 426383.28)",1129.4902700724758,3797.0,"LINESTRING (110686.631 427180.847, 110890.188 427101.292, 110984.334 427069.545, 111088.333 427041.356, 111191.784 427017.272, 111260.752 427004.135, 111427.15000000001 426978.135, 111640 426949, 111992.293 426893.228, 112123.015 426872.986, 112261.93000000001 426851.499, 112370.96 426828.91000000003, 112498.66 426802.771, 112626.36 426775.835, 112780.398 426743.71, 112921.666 426715.177, 113039.39 426693.428, 113171.08 426671.679, 113322.325 426646.738, 113437.654 426627.982, 113608.027 426601.085, 113838 426563, 113916 426549, 114013 426524, 114075 426505, 114179 426465, 114313 426412, 114387.727 426383.28)",R
general_obstruction,2019-11-21 12:22:00,2019-11-21 13:35:01,A15,4.3066349029541,51.8686332702637,73.01666666666667,80579.64077998673,431672.9891669811,"(81347.503, 431768.418)",773.7693784940429,1465.0,"LINESTRING (79891.479 431618.317, 79997.624 431625.503, 80143.443 431635.684, 80221.754 431642.97000000003, 80284 431648, 80384 431657, 80484 431665, 80580.899 431673.411, 80682.328 431682.319, 80761.6 431689.131, 80834.147 431695.685, 80885.831 431701.213, 80964.683 431712.164, 81120.637 431739.691, 81204.29000000001 431753.928, 81254.771 431759.969, 81289.46 431764.121, 81347.503 431768.418)",R
accident,2019-11-21 13:40:00,2019-11-21 14:01:43,A1,6.67420482635498,52.3018455505371,21.716666666666665,242781.82642397814,480098.4491589799,"(243582.726, 480752.398)",1033.9677062381884,4573.0,"LINESTRING (239538.967 478753.033, 239542 478754, 239584.152 478768.13, 239670 478796, 239756 478824, 239852 478855, 239945.036 478885.174, 240044 478917, 240138 478946, 240228 478975, 240333 479008, 240405 479030, 240433 479039, 240487 479055, 240532 479069, 240626 479097, 240722 479126, 240814 479154, 240909 479182, 240961 479198, 241008 479212, 241105 479240, 241216 479273, 241279 479291, 241330 479307, 241428 479342, 241503 479368, 241517 479373, 241609 479409, 241695 479445, 241774 479478, 241791 479486, 241876 479525, 241889 479531, 241967 479570, 242039 479607, 242052 479614, 242137 479662, 242187.336 479689.865, 242193 479693, 242214 479704, 242258 479729, 242288 479748, 242330 479774, 242368 479798, 242431 479840, 242450 479853, 242522 479902, 242538 479914, 242619 479973, 242639.809 479987.983, 242644 479991, 242681 480018, 242702 480035, 242781 480098, 242789 480104, 242857 480161, 242882 480181, 242932 480225, 242990 480277, 243009 480295, 243092 480372, 243123 480402, 243169 480442, 243238 480500, 243253 480512, 243312 480558, 243323 480566, 243383 480611, 243395 480621, 243403 480627, 243488 480687, 243527 480715, 243550.27000000002 480730.513, 243582.726 480752.398)",R
general_obstruction,2019-11-21 14:15:00,2019-11-21 14:29:01,A12,5.13745403289795,52.054801940918,14.016666666666667,137870.0358122833,451862.0407563409,"(139258.11000000002, 452298.935)",1455.2066969155417,1661.0,"LINESTRING (137681.12900000002 451865.133, 137741 451863, 137816 451862, 137861 451862, 137910 451863, 137952 451866, 138010 451871, 138027.41293 451872.61981, 138137.67772 451882.20294, 138220.6898 451893.54856, 138296.70542 451906.12328, 138337.64419 451914.4434, 138346.90977 451916.80707, 138383.12119 451924.84354, 138425.28906 451935.0546, 138453.27491 451942.61834, 138513.78486 451959.82586, 138557.46548 451973.81878, 138638.11389 452002.84465, 138658.72509 452010.31384, 138742.96628 452045.29616, 138768.96665 452057.68179, 138844.0368 452092.56955, 138909.07927 452124.71626, 138923.723 452131.624, 138944.069 452141.706, 138988.36000000002 452164.536, 139095 452219, 139221 452281, 139258.11000000002 452298.935)",R
general_obstruction,2019-11-21 14:40:00,2019-11-21 15:02:02,A73,5.8486065864563,51.7319526672363,22.03333333333333,186874.5210559854,416014.8163133602,"(186681.32266, 416343.89617)",381.6008022232463,523.0,"LINESTRING (186958.209 415901.95, 186907 415967, 186777 416161, 186735.448 416237.543, 186732.573 416243.466, 186719.659 416266.248, 186712.151 416281.553, 186681.32266 416343.89617)",R
