distance,RPE_CODE,first_point_x,first_point_y,last_point_x,last_point_y,split_count,merge_count_end,merge_count_start,directions_x,directions_y
478.0,R,137392.74,448560.92,137620.19,448980.733,2,1,1,"[137620.19, 137620.19]","[448980.733, 448980.733]"
3.0,L,105059.596,498521.552,105060.176,498518.55,2,3,3,"[105059.596, 105060.176]","[498521.552, 498518.55]"
216.0,R,198208.092,316892.441,198368.19,316747.537,1,1,1,[198368.19],[316747.53700000205]
52.0,L,198899.519,316223.241,198867.705,316263.008,0,1,1,[],[]
110.0,L,108775.637,502503.714,108728.082,502404.175,1,2,1,[108728.082],[502404.175]
549.0,R,179898.912,448173.312,180448.214,448170.023,1,1,1,[180448.214],[448170.023]
142.0,R,51217.191,389024.618,51075.434,389032.096,1,2,1,[51075.434],[389032.096]
119.0,L,228128.129,475637.424,228037.363,475560.665,1,2,1,[228037.363],[475560.665]
77.0,R,246968.874,576688.558,247045.583,576685.067,1,2,1,[247045.583],[576685.067]
7.0,R,208526.021,571549.827,208532.085,571554.186,1,1,0,[208532.085],[571554.186]
1734.0,R,168098.383,562020.704,169786.072,561627.822,1,1,2,[169786.072],[561627.822]
445.0,L,206418.587,375309.06,206755.055,375023.643,1,2,1,[206755.055],[375023.643]
727.0,R,247045.583,576685.067,247771.144,576669.031,1,1,2,[247771.144],[576669.031]
