x,y
94378.07306321156,426937.7083958899
120862.95342870272,483463.0113719785
192790.63902978905,451782.1312089404
85075.61889964495,435659.6697772075
132819.14401241636,449204.7092824879
165910.17371719994,579410.3614308496
232351.92736410207,550658.0838535064
88537.52537044194,393881.6040173206
233986.7776136843,486404.7304400827
193017.0525237728,452645.8803164791
118029.0676469498,489329.4467520832
181284.36109270647,522651.18751178007
134756.5581327173,442157.0591291692
194328.82133334747,459907.5878683586
137850.19454805867,449564.29779420607
143185.8997916986,403366.18451453466
155210.44579585476,460552.76129635633
96605.72189118883,436010.076607255
117659.80632492976,453582.4053871502
208881.4483047932,508982.86016947095
208237.7649556385,507366.15963699465
106637.33705041828,449039.3805616964
194167.55709890943,459818.4548170769
99710.11759821988,431144.2285295347
179480.39115188958,522149.41951527016
208237.7649556385,507366.15963699465
133323.47996682627,446991.6838252759
149230.62077787495,488285.14089813066
120116.76424343606,492968.4049638896
96315.31917172552,436552.9477519547
88744.43879167162,393863.18433461786
89351.03972176013,431655.1443960649
131203.3367812865,531737.1287418437
106642.45871358842,449493.05942840513
179480.39115188958,522149.41951527016
202173.26632142096,567401.6289965214
236377.4789991929,574444.1930866899
135506.87614647488,443213.84317080834
149368.4621859376,488306.62849984353
117667.47076757824,479810.7852122304
78923.86621141176,400045.6528194902
211890.47913668584,472446.07452270936
125260.83887840954,477650.64550358144
124097.74953779664,477694.2749898013
199545.5664695874,357801.58515606687
138695.83914433257,455653.60082143085
109447.58029017638,451946.2111619236
143918.82460226672,429791.1535431611
109447.58029017638,451946.2111619236
109015.72950595204,399966.2561769034
113290.60724446586,426651.7506915198
156206.9369559589,386577.1374339235
127346.61344875552,471236.2826615755
123004.05640260928,482413.87146513903
198059.60953995297,463355.7251006362
198059.60953995297,463355.7251006362
151031.1286538332,485442.15472405433
90983.5061559305,464633.7366339276
88465.87268527855,440359.7226142411
89482.10028009879,456580.7391309544
166542.4793482971,464268.0309950677
80579.64077998673,431672.9891669811
132709.2383866611,453324.2229224396
74019.0974634481,435788.2577815446
39798.835251606746,408400.20541304594
198674.5159814846,541129.0939606547
222064.18899117247,578588.5259189372
89482.10028009879,456580.7391309544
83583.18979016005,450922.596748575
92563.6127972488,430849.6215483679
117780.28309411368,489737.52522291546
65621.59825854258,439143.872686909
197680.9207282177,392750.017086458
124722.5365445915,428661.2077954033
179950.2299194292,544513.5183096582
92563.6127972488,430849.6215483679
88182.72140478076,408244.7560260164
171895.55012844125,420427.64051711775
123885.08711884845,477688.81660447497
129551.45084901476,460006.2692974748
101287.0948277858,409331.5717674306
86959.71406164307,414882.5229479288
124722.5365445915,428661.2077954033
129551.45084901476,460006.2692974748
117154.0153371115,396286.551525056
93945.74346188152,431117.810251026
107157.10271097496,406012.40968479664
84826.25285492624,438146.6990526783
173071.72036461064,447399.7023419101
86959.71406164307,414882.5229479288
234991.4573144812,478015.61920287774
93945.74346188152,431117.810251026
242781.8264239781,480098.4491589799
146565.8713492625,470668.4761479892
171895.55012844125,420427.64051711775
134156.81973426847,444427.61317073606
174450.1948378485,517386.7037205754
215995.7335549211,575645.7575821717
108767.8753291529,476685.5644281109
208177.6073904849,471729.9169618742
93945.74346188152,431117.810251026
92563.6127972488,430849.6215483679
230951.2907923425,579511.5514522509
142072.83278566005,475830.347046424
178645.93690501575,313961.60569044674
178424.43490790506,314611.1861042686
123275.09542739933,421276.00871818606
137870.0358122833,451862.0407563409
109775.00886058553,510869.465480817
142752.74256996764,475113.44661244535
117889.13259302202,485158.0819800533
142758.49469689277,475175.39983536943
88368.8777109291,440690.8210053513
87850.59515571507,461505.9975312278
105965.55215343676,429475.9919194185
228894.6912153909,580250.6138322471
148093.48697329557,390596.4233818644
187123.31422064063,415713.3712318454
186874.5210559854,416014.8163133602
126939.02768012747,472141.3556122602
76082.68056358356,435108.3690774008
179781.34086538616,321978.59106768714
145552.7741099212,457382.7883135353
85013.50995881055,452294.9903995188
101643.3373169196,430046.0356191293
160175.50781675256,389624.2255572814
66293.50552173471,430140.2488189656
109775.00886058553,510869.465480817
118594.13138794887,498066.187886561
101701.82424923332,430074.6991644375
89191.96488303873,394884.4828621216
111172.98748682064,514365.1417332452
99761.35293319024,431054.5307187727
81847.10317421502,445250.4863101542
191797.2655522289,447982.818527801
93301.9650437288,439761.9967415637
64975.13358202228,429428.5447750608
193017.0525237728,452645.8803164791
107432.85915318225,449881.8816917556
108233.368200797,450430.32295085647
141021.61871487045,484100.4163117409
140408.6343168788,464435.5826524783
120095.77056441648,405935.504154468
98214.82623204876,433664.3231242445
96658.93587391378,438205.12004292966
249690.8836091912,478755.8154080745
177458.48718095946,430166.73064062063
96527.15602484466,437631.1088519428
101287.0948277858,409331.5717674306
237132.49010647897,581987.9260541061
109447.58029017638,451946.2111619236
85734.29297202479,433416.56672538735
99761.35293319024,431054.5307187727
109447.58029017638,451946.2111619236
130896.83299982065,453821.1779577781
116536.44703223545,483522.8164724896
193861.0065118536,457903.52647600096
96521.77355281092,436188.90058650495
110279.47957918535,427352.9656275633
196872.44423712,408980.0361135752
131435.89287355272,482422.9259488424
139298.4322114641,438486.9397743107
226819.2803293308,534788.1677505473
73070.16704574483,412878.9783258717
249690.8836091912,478755.8154080745
132529.64330248654,457575.22622981854
177458.48718095946,430166.73064062063
130896.83299982065,453821.1779577781
153688.63594521387,460104.73587520514
132529.64330248654,457575.22622981854
142752.74256996764,475113.44661244535
85169.05388896144,432389.5854486545
89482.10028009879,456580.7391309544
127340.21715353134,471123.41768079705
115472.41893978008,481523.5398288406
157451.30695502824,379426.6315725218
85620.44529634005,432271.25185918965
181185.8767417309,438575.1149436413
85674.00333214797,437993.0990662692
92428.03470862492,439586.529192405
90571.58519230012,396864.963823206
91369.53674230854,439315.0866968154
85674.00333214797,437993.0990662692
137968.69789818508,479772.6324009498
97068.41492265453,431064.5848029737
190039.0951008293,554020.8276755688
101121.409155447,429224.3929883069
85529.84837387882,432210.53703145456
87645.73033336348,454820.36606767913
166655.004210919,372708.6339624176
156192.06949033463,391552.6901657548
151186.4430643296,459058.97010067874
133199.9017874983,447263.0023871894
105082.55217173728,498587.9538870667
125629.36106756616,476341.5817643057
82728.66459142965,443679.4051490853
150865.94814243572,430734.258047388
87650.06085206229,454811.8180667036
249583.86138160987,478813.2019987119
125037.84375060776,490868.0802590473
95006.42371103197,429932.24747759616
132529.64330248654,457575.22622981854
149602.99160284334,487502.047966367
184721.28034024884,468358.3817346263
95006.42371103197,429932.24747759616
190589.86221764205,505122.2534148351
130934.56075659089,458915.81504752295
113757.77416221544,498422.69583908975
194023.73824280337,320477.0475269298
109775.00886058553,510869.465480817
119003.89002922393,403965.0085814417
98171.32239049383,441064.1709394176
102903.29383724,416425.88832746784
89493.78472100495,395508.7324430935
94989.7947824781,429281.7719253312
132529.64330248654,457575.22622981854
151111.99586396065,401755.5919477372
